               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12096,            0.033215,                   0,          0.00041667,             0.11111,          0.00046337,          4.6337e-05,             0.12405,            0.025822,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.11689,            0.033959,                   0,          0.00041667,             0.11111,          0.00066473,          0.00019942,             0.11581,            0.024033,                   0,            0.093686,          0.00068614,          0.00068614
                   2,             0.11167,            0.032025,                   0,          0.00041667,             0.11111,           0.0016967,          0.00050902,             0.10303,            0.022343,                   0,            0.090056,           0.0010564,           0.0010564
                   3,             0.10386,            0.033542,                   0,           0.0016667,             0.44444,           0.0029505,           0.0014102,            0.089024,            0.021391,                   0,            0.086411,           0.0014109,           0.0014109
                   4,            0.096791,            0.031503,                   0,           0.0016667,             0.44444,           0.0055735,           0.0012622,            0.084603,            0.020605,                   0,             0.08275,           0.0017495,           0.0017495
                   5,             0.10103,            0.031929,                   0,           0.0033333,             0.88889,           0.0096138,           0.0029698,            0.081162,            0.019794,                   0,            0.079072,           0.0020723,           0.0020723
                   6,            0.094319,            0.031861,                   0,           0.0033333,             0.88889,            0.011348,           0.0037605,            0.078607,             0.01902,                   0,            0.075379,           0.0023792,           0.0023792
                   7,            0.092476,            0.030047,                   0,           0.0033333,             0.88889,            0.024158,             0.00673,            0.075264,             0.01862,                   0,             0.07167,           0.0026703,           0.0026703
                   8,            0.087314,            0.033049,                   0,             0.00375,                   1,            0.018842,           0.0037982,            0.075378,            0.017855,                   0,            0.067946,           0.0029456,           0.0029456
                   9,            0.084223,             0.02973,                   0,           0.0029167,             0.77778,             0.12539,             0.03731,             0.07335,            0.017076,                   0,            0.064205,            0.003205,            0.003205
                  10,            0.079419,            0.034052,                   0,             0.00375,                   1,             0.25428,             0.10354,            0.070476,            0.016609,                   0,            0.060449,           0.0034486,           0.0034486
                  11,            0.075622,            0.031399,                   0,            0.041497,             0.77778,             0.32609,            0.072413,            0.068321,            0.015833,                   0,            0.056676,           0.0036763,           0.0036763
                  12,            0.074731,            0.028578,                   0,             0.12605,             0.55556,             0.30489,             0.12187,            0.070545,            0.014471,                   0,            0.052888,           0.0038882,           0.0038882
                  13,             0.07446,             0.02906,                   0,            0.031591,             0.88889,             0.14886,            0.047681,            0.067971,            0.014629,                   0,            0.049084,           0.0040843,           0.0040843
                  14,            0.073506,            0.029619,                   0,             0.54246,             0.33333,             0.53863,             0.16589,            0.070855,            0.013523,                   0,            0.045265,           0.0042645,           0.0042645
                  15,            0.072748,             0.02871,                   0,                   1,             0.31001,             0.58982,             0.24138,            0.064132,            0.013704,                   0,            0.041429,           0.0044289,           0.0044289
                  16,            0.068269,            0.027236,                   0,             0.64867,             0.33333,             0.47783,             0.23171,            0.062652,            0.013628,                   0,            0.037577,           0.0045774,           0.0045774
                  17,            0.062816,             0.02813,                   0,             0.38624,             0.44444,             0.42813,             0.17856,            0.081581,            0.011494,                   0,             0.03371,           0.0047101,           0.0047101
                  18,            0.071823,            0.027802,                   0,             0.78911,             0.55556,             0.75885,             0.33108,            0.062186,            0.012989,                   0,            0.029827,            0.004827,            0.004827
                  19,            0.063379,            0.025135,                   0,             0.85506,             0.65696,             0.76027,             0.26845,             0.06853,             0.01232,                   0,            0.025928,            0.004928,            0.004928
                  20,            0.064639,            0.028479,                   0,             0.94522,             0.66667,             0.84702,             0.31391,             0.07704,            0.011793,                   0,            0.022013,           0.0050132,           0.0050132
                  21,            0.067261,            0.025578,                   0,             0.65949,             0.66667,              0.6749,             0.26273,            0.058129,            0.013283,                   0,            0.018083,           0.0050825,           0.0050825
                  22,            0.062312,            0.028407,                   0,             0.80603,             0.92572,             0.88625,             0.31232,            0.063824,            0.012276,                   0,            0.014136,            0.005136,            0.005136
                  23,            0.059746,            0.024043,                   0,             0.80035,             0.89102,             0.88625,              0.3009,            0.063008,            0.012012,                   0,            0.010174,           0.0051737,           0.0051737
                  24,            0.062734,            0.027006,                   0,             0.59049,              0.6429,             0.60415,             0.26699,            0.053221,            0.012516,                   0,           0.0061955,           0.0051955,           0.0051955
                  25,            0.059913,            0.024623,                   0,             0.70457,             0.77778,             0.90365,             0.40737,            0.064631,            0.011372,                   0,             0.00505,             0.00505,             0.00505
                  26,            0.060794,            0.026066,                   0,             0.80087,             0.88889,             0.84833,             0.26993,            0.050878,            0.012106,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.05738,            0.025272,                   0,             0.71437,             0.83632,               0.921,             0.47837,            0.055943,            0.010979,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.055923,            0.025256,                   0,             0.96905,                   1,               0.995,             0.38033,            0.046663,            0.011357,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.052206,            0.023413,                   0,             0.65363,             0.84111,             0.71671,             0.32734,            0.056677,            0.010421,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.053433,            0.022732,                   0,             0.92179,                   1,               0.995,             0.35288,            0.044584,            0.010712,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.050284,            0.026004,                   0,             0.63718,                   1,             0.78177,             0.37884,            0.051089,           0.0097513,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.052208,            0.020592,                   0,             0.89974,             0.99743,               0.973,             0.38287,            0.043331,           0.0099936,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.046818,            0.024597,                   0,             0.80755,                   1,               0.918,             0.48836,            0.044295,           0.0092688,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.046165,            0.021416,                   0,             0.79007,                   1,               0.915,             0.35951,            0.041716,           0.0092201,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.044059,            0.020093,                   0,             0.60494,                   1,              0.8135,             0.47316,             0.04463,           0.0087166,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.043156,            0.022571,                   0,             0.86164,                   1,                0.94,             0.49085,            0.037351,           0.0088673,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.042424,            0.019664,                   0,             0.69104,                   1,              0.8575,             0.49485,            0.039857,           0.0086432,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.042277,            0.022513,                   0,             0.85368,                   1,               0.973,             0.50593,             0.03764,           0.0084553,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.041912,            0.021295,                   0,             0.78956,                   1,             0.89667,             0.53147,            0.037475,           0.0083485,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.040008,            0.020331,                   0,             0.78935,                   1,             0.88625,             0.51463,            0.033404,           0.0083141,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.040493,            0.020567,                   0,             0.79818,                   1,               0.915,             0.61283,            0.035012,           0.0080776,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.039654,            0.020476,                   0,              0.9677,                   1,               0.995,             0.58736,            0.032196,           0.0079536,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.033939,            0.018749,                   0,             0.74722,                   1,               0.915,             0.64157,            0.032484,           0.0079021,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.035921,            0.018817,                   0,             0.97477,                   1,               0.995,             0.64086,            0.031313,           0.0077295,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.034809,            0.021038,                   0,             0.86759,                   1,               0.951,             0.63773,            0.030579,           0.0077972,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.033963,            0.018627,                   0,             0.97511,                   1,               0.995,             0.65936,            0.029606,           0.0077543,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.032718,            0.017091,                   0,             0.97699,                   1,               0.995,             0.69586,            0.028668,           0.0077963,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.032445,            0.017428,                   0,               0.976,                   1,               0.995,             0.69218,            0.028381,           0.0078201,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.031605,            0.017136,                   0,              0.9775,                   1,               0.995,             0.69218,            0.028122,           0.0078154,                   0,            0.000496,            0.000496,            0.000496
